Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.13     13.93     0.02                             dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>::sample_expansion_factor() const
  0.13     13.95     0.02                             dlib::rectangle::contains(dlib::vector<long, 2l> const&) const
  0.10     13.97     0.02                             dlib::simd4f_bool::simd4f_bool(float __vector(4) const&)
  0.10     13.98     0.02                             dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long)
  0.10     14.00     0.02                             dlib::matrix<float, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::matrix<dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >(dlib::matrix_exp<dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const&)
  0.10     14.01     0.02                             dlib::simd4f::simd4f(float, float, float, float)
  0.10     14.03     0.02                             dlib::simd4i::simd4i(int)
  0.10     14.04     0.02                             dlib::matrix_exp<dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::ref() const
  0.10     14.06     0.02                             dlib::operator+=(dlib::simd4f&, dlib::simd4f const&)
  0.07     14.07     0.01                             dlib::det_helper<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, 2l>::det(dlib::matrix_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.07     14.08     0.01                             dlib::image_view<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::operator[](long)
  0.07     14.09     0.01                             dlib::image_view<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > >::set_size(long, long)
  0.07     14.10     0.01                             dlib::matrix_exp<dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::matrix_exp()
  0.07     14.11     0.01                             dlib::matrix_exp<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::matrix_exp(dlib::matrix_exp<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.07     14.12     0.01                             dlib::deserialize(short&, std::istream&)
  0.07     14.13     0.01                             void dlib::deserialize<dlib::impl::split_feature, std::allocator<dlib::impl::split_feature> >(std::vector<dlib::impl::split_feature, std::allocator<dlib::impl::split_feature> >&, std::istream&)
  0.07     14.14     0.01                             void dlib::deserialize<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >(std::vector<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >&, std::istream&)
  0.07     14.15     0.01                             void dlib::assign_pixel<float, int>(float&, int const&)
  0.07     14.16     0.01                             dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::matrix_add_exp(dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&)
  0.07     14.17     0.01                             dlib::matrix<double, dlib::pixel_traits<dlib::rgb_pixel>::num, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const dlib::pixel_to_vector<double, dlib::rgb_pixel>(dlib::rgb_pixel const&)
